Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
INDONESIA,PAPUA,HOLTEKAMP III (KOPERASI PALONG),-2.6276,140.78137,4555,,,,,,,,,0.8
INDONESIA,PAPUA,HOLTEKAMP IV (PLTD),-2.61586,140.79024,4553,,,,,,,,,1.8
INDONESIA,PAPUA,JAYAPURA,-2.533,140.7,4545,,,,,,,,,
INDONESIA,PAPUA,JAYAPURA,-2.533,140.7,4545,,,,,,,,,0.85
INDONESIA,PAPUA,KAMPUNG ENGGROS I,-2.59991,140.70763,4552,,,,,,,,,1.1
INDONESIA,PAPUA,KAMPUNG ENGGROS II,-2.59963,140.70752,4552,,,,,,,,,0.95
INDONESIA,PAPUA,MONUMEN INJIL DI PULAU DEBI,-2.59673,140.70773,4552,,,,,,,,,0.9
INDONESIA,PAPUA,PELABUHAN DEPAPRE,-2.46148,140.3677,4538,,,,,,,,,1.3
INDONESIA,PAPUA,PEMANDIAN UMUM DI PULAU DEBI,-2.5973,140.70779,4552,,,,,,,,,0.81
INDONESIA,PAPUA,"SARMI, BIAK, IRIAN JAYA",-1.85,138.73,4481,,,,,,,,,0.93
INDONESIA,WEST PAPUA,GEBE,-0.08,129.46,4468,,,,,,,,,0.22
INDONESIA,WEST PAPUA,RAJA AMPAT,-0.5,130.51667,4483,,,,,,,,,0.47
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.58558,141.46109,266,,,,,,,,,1.3
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52376,141.54111,258,,,,,,,,,1.3
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.46111,141.66321,248,,,,,,,,,10.3
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.80333,141.40108,291,,,,,,,,,5.59
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.46992,141.64956,250,,,,,,,,,10.73
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.5851,141.46991,266,,,,,,,,,3
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.58484,141.47016,266,,,,,,,,,3.12
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52625,141.53287,258,,,,,,,,,2.8
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.53514,141.52881,259,,,,,,,,,4.64
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.54619,141.50019,261,,,,,,,,,5.58
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52803,141.58242,257,,,,,,,,,5.9
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.10119,141.39792,323,,,,,,,,,2.18
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.35492,141.34044,351,,,,,,,,,2.29
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.35483,141.34064,351,,,,,,,,,2.35
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.58539,141.47389,266,,,,,,,,,8.59
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.51844,141.5906,256,,,,,,,,,9.22
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.46,141.66498,248,,,,,,,,,10.5
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.37078,141.37997,352,,,,,,,,,2.01
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.39194,141.41361,354,,,,,,,,,2.02
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.13269,141.3955,326,,,,,,,,,2.07
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.37144,141.44192,351,,,,,,,,,2.15
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.37078,141.44975,351,,,,,,,,,2.15
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52704,141.53943,258,,,,,,,,,2.1
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.60772,141.46138,269,,,,,,,,,3.2
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.60996,141.46049,269,,,,,,,,,3.9
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.48063,141.6356,251,,,,,,,,,10.59
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.53516,141.52821,259,,,,,,,,,0.4
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.54193,141.50138,261,,,,,,,,,0.7
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.5399,141.50543,260,,,,,,,,,0.85
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.50397,141.61735,254,,,,,,,,,9.19
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52635,141.58306,257,,,,,,,,,5.5
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.46448,141.66053,249,,,,,,,,,6.9
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.6608,141.43728,275,,,,,,,,,8.6
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.75397,141.41344,285,,,,,,,,,5.99
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.53023,141.52586,259,,,,,,,,,3.4
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.55753,141.49161,263,,,,,,,,,3.43
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52808,141.52747,259,,,,,,,,,3.92
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.54359,141.49583,261,,,,,,,,,0.7
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52463,141.54241,258,,,,,,,,,0.7
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.53684,141.52933,259,,,,,,,,,0.8
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52622,141.52061,259,,,,,,,,,0.9
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52375,141.54003,258,,,,,,,,,1
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52512,141.53092,258,,,,,,,,,1.45
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.53698,141.50513,260,,,,,,,,,1.5
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.54785,141.50516,261,,,,,,,,,1.5
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.53047,140.89422,381,,,,,,,,,
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.54078,140.92208,381,,,,,,,,,1.52
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",41.46589,141.09597,369,,,,,,,,,1.9
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52723,141.54603,258,,,,,,,,,1.65
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52696,141.518,259,,,,,,,,,1.7
JAPAN,AOMORI,"Aomori Prefecture, Tohoku Region",40.52785,141.52721,259,,,,,,,,,1.7
