AnalysisId,SampleId,SampleNum,Type,Fixed,Latitude,Longitude,Distance_miles,Bearing,Direction,CollectionDate,Source,Description,SpectraFile,SamplingTime,LiveTime,InstrumentHeight,Uncertainty,MDA,MethodCode,Moisture_pct,Nuclide,Result,Unit
221869,10329,JIS-0607-3,Instrument,No,36.862889,140.63175,44.4161400581597,209.890114705057,SSW,6/7/2011 1:22:00 AM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0607-3.CHN,1869,1800,100,0.000428,,InSituGammaSpec,,Ag-110m,0.002197,uCi/m2
221871,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.075069,,InSituGammaSpec,,Cs-134,0.754236,uCi/m2
221873,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.003678535,,InSituGammaSpec,,Cs-137,0.80882153,uCi/m2
221875,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.000730769,,InSituGammaSpec,,Cs-136,0.002655993,uCi/m2
221877,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0,0.01191,InSituGammaSpec,,I-131,0,uCi/m2
221879,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0,0.017165,InSituGammaSpec,,I-132,0,uCi/m2
221881,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.023215,,InSituGammaSpec,,Te-129,0.088762,uCi/m2
221883,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0,0.00973,InSituGammaSpec,,I-133,0,uCi/m2
221885,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0.039312,,InSituGammaSpec,,Te-129m,0.147525,uCi/m2
221887,10331,JIS-0608-1,Instrument,No,36.9795,140.362861,47.8865957091195,230.56234863844,SW,6/7/2011 11:20:00 PM,DOE,Description: GOJ in situ measurement.  Date/Time is in Pacific Daylight Saving Time;,0608-1.CHN,1931,1800,100,0,0.00621,InSituGammaSpec,,Te-132,0,uCi/m2
