Country,State,Name,Latitude,Longitude,DistanceFromSource,ArrivalDay,ArrivalHour,ArrivalMin,TravelTimeHours,TravelTimeMin,MaxWaveDay,MaxWaveHour,MaxWaveMin,MaxWaveHeight
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.23481,140.96333,123,,,,,,,,,2.68
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.5285,141.42431,87,,,,,,,,,2.69
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.16028,140.92172,128,,,,,,,,,2.7
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.41983,141.2255,101,,,,,,,,,2.71
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.307,141.03439,117,,,,,,,,,2.72
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.31314,141.039,116,,,,,,,,,2.72
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.02289,140.89531,133,,,,,,,,,2.73
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.2065,140.94394,125,,,,,,,,,2.74
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.96794,140.90661,133,,,,,,,,,4.03
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.98972,140.90053,133,,,,,,,,,4.04
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.19714,140.966,123,,,,,,,,,17.5
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",37.97093,140.91186,133,,,,,,,,,8.6
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.86436,141.61394,91,,,,,,,,,8.62
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.29658,141.51014,75,,,,,,,,,8.71
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.37453,141.45876,80,,,,,,,,,8.75
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.84619,141.61383,90,,,,,,,,,8.82
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.90667,141.56806,97,,,,,,,,,4.1
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.45353,141.30047,95,,,,,,,,,0.82
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.4145,141.38808,87,,,,,,,,,1.93
JAPAN,MIYAGI,"Miyagi Prefecture, Tohoku Region",38.06969,140.88653,132,,,,,,,,,3.04
